Model,MSEVal,MSEValTrueFunction
B-spline,0.019039,0.007039
P-spline,0.012225,0.001521
c0,0.012225,0.001521
c1,0.012223,0.001522
c10,0.012206,0.001513
c100,0.012189,0.001491
c1000,0.012191,0.001482
c10000,0.012191,0.001481
