residual residual_trueFunc solution_norm lam_c
0.611130565127364 0.07607606866167446 0.00028892110246153853 1.023292992280754
0.6110778515806824 0.07606375954908506 0.0002748576975806731 1.5005483720109185
0.6109992924665839 0.0760373370486478 0.0002567515948976013 2.200391709637399
0.6108866131751022 0.0759897376792678 0.00023408046296715328 3.2266361859114823
0.6107331356056326 0.0759142640863395 0.00020668058549851593 4.731512589614805
0.6105369156753291 0.0758068360893861 0.00017510779275605544 6.938250889094058
0.6103036028307369 0.07566811960929617 0.00014096000536441026 10.17419366180605
0.6100471913024054 0.075504509554015 0.00010684266849062546 14.919353353255648
0.6098333121708257 0.07531130980633385 7.660444331625294e-05 21.87761623949553
0.6096711228690757 0.07510228352470075 5.1802452654528636e-05 32.08115532823636
0.6095593056080433 0.0748953625924864 3.2965579048129744e-05 47.04354057259762
0.6094955680603205 0.07470439732805782 1.9788734694762446e-05 68.98425842094827
0.609469258644124 0.07453935787964562 1.1257623867883686e-05 101.15794542598982
0.6094669737767264 0.07440472228924369 6.10988559892823e-06 148.3371736833824
0.609477030163092 0.07429999497453237 3.1884765286691933e-06 217.52040340195222
0.6094914070199605 0.0742215043012522 1.6128008413500544e-06 318.9701186914858
0.6095056315260057 0.07416429047263684 7.965526433845946e-07 467.73514128719813
0.6095177564362344 0.07412341825473254 3.8651686511308293e-07 685.8829387920183
0.6095272904419166 0.0740946349410666 1.8516802723889492e-07 1005.7730630017381
0.6095344297458677 0.07407456693621789 8.79049781158581e-08 1474.857292764125
0.6095396117848776 0.07406067216179724 4.146560869918182e-08 2162.71852372702
0.6095432970775024 0.07405109759014487 1.9473023304174282e-08 3171.392537989798
0.6095458825336357 0.07404452163392289 9.116849909776156e-09 4650.503761666063
0.6095476799003304 0.07404001533736505 4.259296829125503e-09 6819.460214464241
0.6095489217207527 0.07403693207140123 1.987012896314811e-09 10000.0
