Model,MSE_val,EDoF
M1,321694.22709610505,108.021
M2,327161.6987718339,30.499
M3,214093.83255598985,120.038
M4,204704.9362003915,41.716
M5,225069.16257219057,192.326
M6,213300.1109406767,82.681
