xplot ytrue Bspline_fit Pspline_fit SCP_spline_fit
-0.053953953953953956 0.0 0.004500439869432583 0.01087308460851874 -0.017488455947638128
-0.053753753753753755 0.0 -0.004457243729899536 0.005209540164814223 -0.017491585976473614
-0.053553553553553554 0.0 -0.012475064155687058 -0.00015597158325019941 -0.017494778851587012
-0.05335335335335336 0.0 -0.01926520637661049 -0.005008950307653529 -0.017498028094409143
-0.05315315315315316 0.0 -0.024539855361351004 -0.009134895680375277 -0.01750132722637085
-0.05295295295295296 0.0 -0.028011196078589057 -0.01231930737339443 -0.017504669768902956
-0.052752752752752756 0.0 -0.029391413497005327 -0.014347685058690135 -0.017508049243436283
-0.052552552552552555 0.0 -0.028392941604055793 -0.015005684088415532 -0.017511459174420145
-0.05235235235235235 0.0 -0.02491384246455676 -0.01419500974449109 -0.017514895336385505
-0.05215215215215215 0.0 -0.01936694203126379 -0.012139184535474475 -0.017518359743548716
-0.05195195195195196 0.0 -0.012253566636175328 -0.009117059145173328 -0.01752185548287912
-0.05175175175175176 0.0 -0.004075042611289131 -0.005407484257394998 -0.017525385641346092
-0.051551551551551555 0.0 0.004667303711396377 -0.0012893105559471062 -0.017528953305918984
-0.051351351351351354 0.0 0.013472145999882987 0.002958611275362788 -0.017532561563567167
-0.05115115115115115 0.0 0.021838157922172467 0.007057430552727152 -0.017536213501259994
-0.05095095095095095 0.0 0.029264013146266605 0.010728296592338427 -0.017539912205966825
-0.05075075075075076 0.0 0.035248385340167 0.013692358710388996 -0.01754366076465703
-0.050550550550550556 0.0 0.03928994817187586 0.015670766223071515 -0.017547462264299967
-0.050350350350350355 0.0 0.040963890012595025 0.01642796424233854 -0.017551319376180093
-0.050150150150150154 0.0 0.040368035454263484 0.016024131250638746 -0.017555231932232344
-0.04994994994994995 0.0 0.03781867829290397 0.014643066389513574 -0.017559198577504105
-0.04974974974974975 0.0 0.03363284653691589 0.012468984254107168 -0.01756321795305395
-0.04954954954954955 0.0 0.028127568194698582 0.009686099439563662 -0.017567288699940474
-0.049349349349349356 0.0 0.02161987127465168 0.0064786265410273075 -0.01757140945922226
-0.049149149149149154 0.0 0.014426783785174084 0.003030780153642011 -0.017575578871957903
-0.04894894894894895 0.0 0.006865333734665359 -0.0004732251274479869 -0.01757979557920597
-0.04874874874874875 0.0 -0.0007474508684750976 -0.003849174707098545 -0.01758405822202506
-0.04854854854854855 0.0 -0.008094542015847929 -0.006912853990165527 -0.017588365441473762
-0.04834834834834835 0.0 -0.014861504301444527 -0.00948308547481794 -0.017592715934417014
-0.04814814814814815 0.0 -0.0207868912337055 -0.011440765303188688 -0.01759710953831829
-0.047947947947947954 0.0 -0.02565879904501651 -0.012724826235807916 -0.01760154715705955
-0.04774774774774775 0.0 -0.029267226354826786 -0.013276429576637364 -0.017606029735472064
-0.04754754754754755 0.0 -0.031402171782585045 -0.013036736629638621 -0.017610558218387105
-0.04734734734734735 0.0 -0.03185363394774018 -0.011946908698773333 -0.01761513355063595
-0.04714714714714715 0.0 -0.030411611469741088 -0.009948107088003153 -0.017619756677049875
-0.04694694694694695 0.0 -0.026866102968036674 -0.006981493101289722 -0.017624428542460147
-0.046746746746746747 0.0 -0.021007107062075835 -0.0029882280425946916 -0.017629150091698038
-0.04654654654654655 0.0 -0.012624622371307806 0.0020905267841201027 -0.01763392226959483
-0.04634634634634635 0.0 -0.0015104359578488116 0.00831281328318441 -0.01763874602192627
-0.04614614614614615 0.0 0.012267778855129516 0.015613759782012482 -0.01764362244016443
-0.04594594594594595 0.0 0.028071124053005825 0.02367400107224094 -0.0176485529174467
-0.04574574574574575 0.0 0.04518984331438509 0.03214260296520852 -0.017653538884330987
-0.045545545545545546 0.0 0.06291418031787213 0.04066863127225388 -0.017658581771375165
-0.04534534534534535 0.0 0.08053437874207137 0.04890115180471549 -0.017663683009137104
-0.04514514514514515 0.0 0.09734068226558884 0.056489230373932595 -0.017668844028174695
-0.04494494494494495 0.0 0.11262333456702889 0.06308193279124362 -0.017674066259045825
-0.04474474474474475 0.0 0.1256725793249965 0.06832832486798729 -0.01767935113230838
-0.04454454454454455 0.0 0.13577866021809645 0.07187747241550227 -0.017684700078520223
-0.044344344344344346 0.0 0.14223182092493378 0.07337844124512724 -0.017690114528239247
-0.044144144144144144 0.0 0.14444603249354826 0.07255873121819079 -0.017695594641514115
-0.04394394394394395 0.0 0.14245020338778067 0.06953566727863482 -0.0177011342638354
-0.04374374374374375 0.0 0.13646392342914118 0.06454745232333808 -0.01770672528265947
-0.04354354354354355 0.0 0.12670684065380086 0.05783232615299185 -0.01771235958484489
-0.043343343343343346 0.0 0.11339860309793075 0.0496285285682873 -0.017718029057250246
-0.043143143143143145 0.0 0.09675885879770192 0.04017429936991562 -0.0177237255867341
-0.042942942942942944 0.0 0.07700725578928552 0.029707878358568057 -0.017729441060155036
-0.04274274274274274 0.0 0.05436344210885255 0.01846750533493576 -0.017735167364371623
-0.04254254254254255 0.0 0.02904706579257504 0.0066914200997103485 -0.01774089638624243
-0.04234234234234235 0.0 0.0012777748766223222 -0.005382137546417768 -0.017746620012626037
-0.042142142142142146 0.0 -0.028670433691619618 -0.017519029989113036 -0.017752329820214092
-0.041941941941941945 0.0 -0.059796522455544496 -0.029539995702458063 -0.017758013236508944
-0.04174174174174174 0.0 -0.09058081826557796 -0.041304919119781125 -0.017763654729181073
-0.04154154154154154 0.0 -0.1194924765401686 -0.05267452787981815 -0.017769238702146067
-0.04134134134134134 0.0 -0.1450006526977649 -0.06350954962130503 -0.017774749559319528
