Model,MSE_val,EDoF
M1,0.03454786210411458,20.488
M2,0.03460287509633609,15.477
M3,0.005827893823624244,262.332
M4,0.005079149825823735,57.22
M5,0.0057031655280407045,265.207
M6,0.0047235490170244995,53.594
