c10 c100 c1000 c10000 c100000 c1000000 c10000000 c100000000 c1000000000 c10000000000 c100000000000 c1000000000000 c10000000000000 c100000000000000 c1000000000000000 c10000000000000000 c100000000000000000 c1000000000000000000 x ytrue
-0.06550762996902681 -0.02535882584470663 0.23068977993602152 0.6891294132795132 0.8081521715829862 0.8219121285394815 0.8233095408205714 0.8234494974464329 0.823463552584562 0.8234648795313205 0.8234643478148259 0.8234598028214585 0.8244312792643598 0.8250041517731956 0.26968750970471356 1.3223930391253862e-05 1.3176663942410593e-05 -1.533293691755469e-15 0.1 0.0038609082724554255
-0.059199163151170325 -0.023502142748060326 0.2311211198401127 0.6892104063888695 0.8081612719061926 0.8219130502524974 0.8233096331106344 0.8234495066766303 0.8234635535075935 0.8234648796236226 0.8234643478240549 0.823459802822382 0.8244312792644514 0.8250041517732059 0.2696875097047155 1.3223930391503276e-05 1.3176663942435538e-05 -1.5307997459337449e-15 0.10282828282828284 0.0044438302904498215
-0.052735313739194885 -0.021242001067148148 0.2319148979747837 0.6893793480409652 0.8081804438186391 0.8219149936956602 0.823309827721464 0.8234495261403842 0.823463555453996 0.8234648798182622 0.8234643478435172 0.823459802824329 0.824431279264646 0.8250041517732276 0.2696875097047184 1.322393039188672e-05 1.3176663942473885e-05 -1.5269655469156908e-15 0.10565656565656566 0.005106585947365084
-0.04618727598553306 -0.01852822256570412 0.23317770774165808 0.6896664908630668 0.8082132524994844 0.8219183217540902 0.8233101610063962 0.8234495594736799 0.8234635587873746 0.8234648801515991 0.8234643478768493 0.8234598028276635 0.8244312792649797 0.8250041517732641 0.26968750970472277 1.3223930392405158e-05 1.3176663942525715e-05 -1.5217813455378728e-15 0.10848484848484849 0.005858804768721867
-0.03975108654023905 -0.01543689049226291 0.23495883151681446 0.6900935118059991 0.8082623752405159 0.8219233082239676 0.823310660406861 0.8234496094212781 0.8234635637822094 0.8234648806510814 0.8234643479267962 0.8234598028326588 0.8244312792654798 0.8250041517733177 0.2696875097047279 1.3223930393054368e-05 1.3176663942590604e-05 -1.5152896536536462e-15 0.11131313131313132 0.006711082948551352
-0.033675523822163364 -0.012114790311509617 0.23725084755601955 0.6906640660858979 0.8083282737032758 0.8219300003017607 0.8233113306528688 0.8234496764562848 0.8234635704858135 0.823464881321442 0.8234643479938314 0.8234598028393645 0.8244312792661503 0.8250041517733882 0.2696875097047343 1.322393039383113e-05 1.3176663942668258e-05 -1.5075224950065638e-15 0.11414141414141415 0.007675053063196506
-0.028231912282749055 -0.008761840976380945 0.2399869103068783 0.6913655240870995 0.8084095084603427 0.8219382519426219 0.8233121571185176 0.8234497591158934 0.8234635787519029 0.8234648821480528 0.8234643480764927 0.8234598028476312 0.8244312792669777 0.825004151773475 0.26968750970474187 1.322393039472052e-05 1.3176663942757175e-05 -1.4986288589274618e-15 0.11696969696969697 0.008763455113218233
-0.023519457586751884 -0.005453687642244598 0.24315213661192261 0.6921969068973981 0.8085060092412528 0.821948056476153 0.823313139140436 0.8234498573338028 0.8234635885738493 0.8234648831302507 0.823464348174712 0.8234598028574537 0.82443127926796 0.8250041517735774 0.26968750970475075 1.3223930395721897e-05 1.3176663942857301e-05 -1.4886153762503027e-15 0.1197979797979798 0.009990208357333953
-0.019473736097971792 -0.0021536701222092344 0.24676323046484694 0.693162168819005 0.8086182510899036 0.821959462352051 0.8233142815732061 0.8234499715955675 0.8234636000002094 0.8234648842728898 0.8234643482889756 0.8234598028688807 0.8244312792691032 0.8250041517736951 0.2696875097047612 1.3223930396840654e-05 1.3176663942969155e-05 -1.4774280571173439e-15 0.12262626262626264 0.011370483315425008
-0.015956872757347522 0.0012054786449225783 0.2508083769829549 0.6942537495436772 0.8087453425026381 0.8219723790284186 0.8233155753487363 0.8234501009942408 0.8234636129402866 0.8234648855669 0.8234643484183763 0.8234598028818217 0.8244312792703984 0.8250041517738281 0.26968750970477273 1.3223930398075186e-05 1.3176663943092593e-05 -1.465082928984686e-15 0.12545454545454546 0.012920773226804955
