Model,MSE_val,EDoF
M1,0.026796093361270437,29.378
M2,0.026796093361270437,29.378
M3,0.003475682764136519,169.519
M4,0.0032057223378008314,53.104
M5,0.002359361422345133,228.386
M6,0.0030112515682239023,43.524
