H	mur
0.0	4020.0642194923064588
0.198	4020.0642194923064588
0.221	3961.8696244589336956
0.252	3790.4034069498889469
0.304	3403.9839805832884294
0.409	2724.9232314016316636
0.68	1756.3854017488456151
1.54	827.77892515270304291
3.789	358.03800904753506308
7.752	185.77741071040480159
13.73	111.12177417137696212

