H	mur
0.384	2911.815144195134481
0.385	2905.2704533010527441
0.386	2898.7417588260908385
0.387	2892.2291286668490082
0.388	2885.7326282099660863
0.389	2879.2523203802259586
0.39	2872.7882656878260224
0.391	2866.3405222748213617
0.392	2859.9091459607596042
0.393	2853.4941902875191069
0.394	2847.0957065633652257
0.395	2840.7137439062369665
0.396	2834.3483492862778099
0.397	2827.9995675676232419
0.398	2821.667441549457913
0.399	2815.3520120063547218
0.4	2809.0533177279081046
0.401	2802.7713955576738334
0.402	2796.5062804314267578
0.403	2790.2580054147484165
0.404	2784.0266017399561501
0.405	2777.8120988423845151
0.406	2771.6145243960304271
0.407	2765.4339043485729218
0.408	2759.2702629557781001
0.409	2753.123622815299877
0.41	2746.9998052977899936
0.411	2740.9044822721975424
0.412	2734.8374523050056016
0.413	2728.7985158710091154
0.414	2722.7874753306699363
0.415	2716.8041349077945115
0.416	2710.8483006675288403
0.417	2704.9197804946654604
0.418	2699.0183840722572852
0.419	2693.1439228605332413
0.42	2687.2962100761107345
0.421	2681.4750606715000691
0.422	2675.6802913148960429
0.423	2669.9117203702520135
0.424	2664.16916787763185
0.425	2658.4524555338352265
0.426	2652.761406673291843
0.427	2647.0958462492202009
0.428	2641.4556008150466807
0.429	2635.8404985060807081
0.43	2630.2503690214419012
0.431	2624.6850436062351574
0.432	2619.1443550339697124
0.433	2613.6281375892182705
0.434	2608.136227050512386
0.435	2602.6684606734703486
0.436	2597.224677174153872
0.437	2591.8047167126499769
0.438	2586.4084208768745105
0.439	2581.0356326665938133
0.44	2575.6861964776611052
0.441	2570.3599580864642247
0.442	2565.0567646345814159
0.443	2559.7764646136419213
0.444	2554.5189078503881815
0.445	2549.2839454919365181
0.446	2544.0714299912332235
0.447	2538.8812150927030307
0.448	2533.7131558180869982
0.449	2528.5671084524668917
0.45	2523.4429305304732018
0.451	2518.3404808226739721
0.452	2513.2596193221416923
0.453	2508.2002072311955133
0.454	2503.1621069483161408
0.455	2498.1451820552307593
0.456	2493.1492973041654312
0.457	2488.1743186052624217
0.458	2483.2201130141599654
0.459	2478.2865487197320335
0.46	2473.3734950319856833
0.461	2468.4808223701136479
0.462	2463.6084022506998196
0.463	2458.7561072760753633
0.464	2453.9238111228232049
0.465	2449.1113885304286922
0.466	2444.3187152900742631
0.467	2439.5456682335759807
0.468	2434.7921252224598523
0.469	2430.0579651371758583
0.47	2425.3430678664476777
0.471	2420.6473142967561069
